river,fpz,description,site,id,species,feeding,tl,d15N,d13C,per_N,per_C,C_N,tp
WIN,1,closed backwater Winona,WIN1,115,bluegill,invertivore,172,17.07070997,-24.57458612,13.44100121,44.15041983,3.284756778,3.878438777
WIN,1,closed backwater Winona,WIN1,116,walleye,piscivore,642,17.82225376,-25.41773696,13.68623174,43.4058501,3.171497525,4.099481067
WIN,1,closed backwater Winona,WIN1,117,common carp,detritivore,610,13.4336202,-27.13816272,9.945266041,51.82146028,5.210666066,2.80870649
WIN,1,closed backwater Winona,WIN1,118,spotted sucker,invertivore,300,13.3969814,-31.43104085,13.43793607,43.68124788,3.250592029,2.797930372
WIN,1,closed backwater Winona,WIN1,119,drum,invertivore,280,14.08540669,-31.59658653,10.25003334,49.53607819,4.832772396,3.000408399
WIN,1,closed backwater Winona,WIN1,120,drum,invertivore,388,14.51634829,-28.9971625,12.21361478,48.84783365,3.999457534,3.127155929
WIN,1,closed backwater Winona,WIN1,121,smallmouth buffalo,detritivore,497,15.98461748,-29.39470831,9.472894564,52.33605855,5.524822239,3.558999809
WIN,1,closed backwater Winona,WIN1,122,spotted sucker,invertivore,346,13.04437843,-30.62395242,13.2573888,43.01215085,3.244390844,2.694223616
WIN,1,closed backwater Winona,WIN1,123,northern pike,piscivore,410,15.94632308,-27.72375664,13.70569811,43.5728593,3.179178393,3.547736748
WIN,1,closed backwater Winona,WIN1,124,northern pike,piscivore,465,14.80429761,-28.54984668,13.8154349,43.81578959,3.171509975,3.211846904
